condition,step,interval_first_step,train_loss,waveform_mse,weighted_envelope_mse,envelope_weight_at_interval_last_step,unweighted_envelope_interval_mean,unweighted_envelope_null_reason,component_source
time_init3,3600,3501,0.2948329518226159,0.2948329518226159,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,3700,3601,0.2938286844264707,0.2938286844264707,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,3800,3701,0.2928421769472339,0.2928421769472339,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,3900,3801,0.29199135786508473,0.29199135786508473,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,4000,3901,0.29094469904739084,0.29094469904739084,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,4100,4001,0.2901856487457615,0.2901856487457615,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,4200,4101,0.2894301649634097,0.2894301649634097,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,4300,4201,0.28873351864827496,0.28873351864827496,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,4400,4301,0.28795282481641366,0.28795282481641366,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,4500,4401,0.2872486401908787,0.2872486401908787,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,4600,4501,0.2865790969326205,0.2865790969326205,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,4700,4601,0.2861200623169225,0.2861200623169225,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,4800,4701,0.285400857998695,0.285400857998695,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,4900,4801,0.2847958408189983,0.2847958408189983,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,5000,4901,0.2844531938829285,0.2844531938829285,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
envelope,100,1,1.5885126538887406,1.157015121124679,0.43149753200509283,0.9603841536614646,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,200,101,1.3613539740895049,1.094976037487866,0.2663779366705246,0.9203681472589036,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,300,201,1.0951548107192086,0.9297853870388286,0.16536942445392747,0.8803521408563425,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,400,301,0.9259092718923689,0.8028473476895296,0.12306192490822392,0.8403361344537815,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,500,401,0.7856425323140896,0.6890119811569779,0.09663055146631906,0.8003201280512204,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,600,501,0.680107922204579,0.6009060915496653,0.0792018302586806,0.7603041216486595,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,700,601,0.6066475899376204,0.5388744206990298,0.06777316892782506,0.7202881152460985,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,800,701,0.5563266084904631,0.4962681733495803,0.06005843483640508,0.6802721088435374,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,900,801,0.5155786874999386,0.461556600428411,0.054022086732913026,0.6402561024409764,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,1000,901,0.4861378574251149,0.4367708627526843,0.04936699435601736,0.6002400960384153,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,1100,1001,0.4638705258882696,0.4183072735824364,0.04556325252893324,0.5602240896358543,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,1200,1101,0.44536702641339504,0.4031960858610514,0.042170940678430364,0.5202080832332934,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,1300,1201,0.42882677749188813,0.3898389611173424,0.038987816379498066,0.4801920768307323,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,1400,1301,0.41616514964767853,0.38010523113521555,0.036059918481581146,0.4401760704281713,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,1500,1401,0.40362039327109545,0.37040973063766996,0.033210662750831905,0.4001600640256102,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,1600,1501,0.3937902029783446,0.3633903453506312,0.03039985766097391,0.36014405762304924,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,1700,1601,0.3835975427196665,0.3559949609684,0.027602581912185654,0.32012805122048815,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,1800,1701,0.37639189016939184,0.35156524877547324,0.024826641288948334,0.2801120448179272,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,1900,1801,0.3671018149427196,0.3451832003017875,0.021918614579544103,0.2400960384153662,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,2000,1901,0.35946305381953486,0.3404891848726625,0.01897386929277634,0.2000800320128051,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,2100,2001,0.3522257254328898,0.33631669831551925,0.01590902735902757,0.16006402561024413,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,2200,2101,0.3456326319142631,0.3329232471228714,0.01270938432253786,0.12004801920768304,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,2300,2201,0.3375185409724668,0.32819980352427025,0.009318737242728348,0.08003201280512207,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,2400,2301,0.33162584829299285,0.3258685570570228,0.005757291153969857,0.04001600640256098,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,2500,2401,0.3241414639845432,0.3221818337069039,0.0019596303940131172,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,2600,2501,0.319829671331834,0.319829671331834,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,2700,2601,0.3171616353705807,0.3171616353705807,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,2800,2701,0.3150813496413767,0.3150813496413767,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,2900,2801,0.3128062081451026,0.3128062081451026,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,3000,2901,0.3108819818043198,0.3108819818043198,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,3100,3001,0.30875667356903436,0.30875667356903436,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,3200,3101,0.3070654591969183,0.3070654591969183,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,3300,3201,0.30456150680474203,0.30456150680474203,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,3400,3301,0.30330333588847663,0.30330333588847663,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,3500,3401,0.30160962265272084,0.30160962265272084,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,3600,3501,0.2991999571599303,0.2991999571599303,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,3700,3601,0.2978939842582383,0.2978939842582383,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,3800,3701,0.2969805090944695,0.2969805090944695,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,3900,3801,0.2947777971576632,0.2947777971576632,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,4000,3901,0.29378604657262264,0.29378604657262264,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,4100,4001,0.2922901214685687,0.2922901214685687,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,4200,4101,0.29098857408547907,0.29098857408547907,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,4300,4201,0.2893489038705216,0.2893489038705216,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,4400,4301,0.28850222693192923,0.28850222693192923,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,4500,4401,0.2870662076279006,0.2870662076279006,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,4600,4501,0.2860346445525823,0.2860346445525823,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,4700,4601,0.2845607265181345,0.2845607265181345,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,4800,4701,0.28387935137232484,0.28387935137232484,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,4900,4801,0.2826242260643431,0.2826242260643431,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
envelope,5000,4901,0.281599467016901,0.281599467016901,0.0,0.0,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,100,1,1.5904289090490946,1.1318133013002727,0.4586156086793936,0.9603841536614646,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,200,101,1.287204156237097,1.0512773952842915,0.23592676147395678,0.9203681472589036,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,300,201,1.06964555200398,0.9164782042076911,0.1531673491461852,0.8803521408563425,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,400,301,0.9360144281992724,0.8158841999708671,0.12013022840863247,0.8403361344537815,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,500,401,0.8240477534592197,0.7246357142217483,0.09941203826349826,0.8003201280512204,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,600,501,0.7329710227406854,0.6484948264648881,0.08447619608010125,0.7603041216486595,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,700,601,0.6598632046818466,0.5862557467126063,0.07360745806967571,0.7202881152460985,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,800,701,0.6044329418763906,0.5389567624935023,0.06547617920516496,0.6802721088435374,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,900,801,0.5639799660657928,0.5047495819440165,0.059230384100381575,0.6402561024409764,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,1000,901,0.5328701940977902,0.4785807828303591,0.054289411296448965,0.6002400960384153,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,1100,1001,0.5084916533481905,0.4583422917922189,0.05014936186195176,0.5602240896358543,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,1200,1101,0.4881590730234524,0.4416176452213388,0.046541427439572514,0.5202080832332934,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,1300,1201,0.4730976844147749,0.42976135317606207,0.043336331306736225,0.4801920768307323,,not recorded,native report interval means; envelope_weight is the last-step value
time_init3_envelope,1400,1301,0.4584615662409086,0.41830056261312976,0.04016100339368932,0.4401760704281713,,not recorded,native report interval means; envelope_weight is the last-step value
